Country,City,Operator Name,He Photon And Electron Beam Rt,Proton Ion Therapy,XRay Generator,Brachy Therapy Inc El,Last Update,Latitude,Longitude
Albania,Tirana,"QSUNT ""Mother Teresa"" University Hospital",2,0,1,0,2025.0,41.3412802,19.832615
Albania,Tirana,International Hospital Tirana,2,0,0,0,2019.0,41.3443906,19.7741095
Albania,Tirana,"Mother Teresa University Hospital, Neurosurgery Service, X-Knife Unit",1,0,0,0,2021.0,41.3403355,19.8345706
Algeria,Algiers,Centre Pierre-et-Marie-Curie (CPMC),4,0,0,1,2018.0,36.766481,3.0329711
Algeria,Algiers,Hospital Central De L'Armee (HCA),2,0,0,1,2016.0,36.794825,3.0494823
Algeria,Algiers,Clinique D'oncologie Et Radiotherapie Fatema Al Azhar,2,0,0,1,2023.0,36.7641056,2.983702
Algeria,Annaba,Centre de Lutte Contre le Cancer (CLCC) Annaba,3,0,0,0,2019.0,36.897375,7.7500122
Algeria,Batna,EHS Centre Anti-Cancer Batna (CAC Batna),3,0,0,0,2019.0,35.5446077,6.1596945
Algeria,Blida,Centre Anti-Cancer Blida (CACB),3,0,0,1,2016.0,36.4735715,2.8323153
Algeria,Blida,Centre de Radiothérapie-Oncologie (CRO),2,0,0,1,2016.0,36.4931258,2.8560413
Algeria,Constantine,Dr Benbadis Centre Hospitalo-Universitaire de Constantine (CHUC),3,0,0,0,2020.0,36.3409251,6.6204727
Algeria,Constantine,Centre Athéna (Cath),2,0,0,1,2016.0,36.3621682,6.608394
Algeria,Oran,Centre Anti-Cancer Oran (CACO),3,0,0,1,2016.0,35.6579572,-0.6948565
Algeria,Oran,Etablissement Hospitalier Specialisé en Oncologie Emir Abdelkader,1,0,0,0,2018.0,35.6716457,-0.5731425
Algeria,Oran,Clinique Oncopole l'espoir,2,0,0,0,2019.0,35.7017537,-0.5798417
Algeria,Ouargla,Centre Anti-Cancer Ouargla (CACOu),2,0,0,1,2016.0,31.9527411,5.3335348
Algeria,Sétif,Etablissement Spécialisé Mokhtari Abed El GHANI CAC Setif,3,0,0,0,2017.0,36.2028454,5.3596222
Algeria,Tizi Ouzou,Hôpital Chahid Mahmoudi (HCM),2,0,0,1,2017.0,36.7010452,4.0549696
Angola,Luanda,Centro Nacional de Oncologia de Angola (Instituto Angolano de Controlo de Câncer),1,0,0,0,2023.0,-8.8268362,13.2270056
Angola,Luanda,Clinica Girassol,2,0,0,1,2021.0,-8.8373606,13.2304235
